year,week,avg_close_price,avg_open_price,total_volume
2022,1,165.61829833984376,166.43210144042968,297112000
2023,19,109.01600189208985,108.36200103759765,296925400
2023,31,132.41200256347656,133.08799896240234,376741300
2025,37,232.5019989013672,234.1320037841797,197821700
1998,33,1.04375,1.034271001815796,2217096000
1999,22,2.6964847445487976,2.7238282561302185,1875724000
1999,37,3.2393750190734862,3.2668750286102295,772922000
2000,35,2.046875,2.059375023841858,691652000
2000,41,1.41875,1.405625009536743,870974000
2005,2,2.129300022125244,2.101799964904785,1065342000
2005,21,1.7742000102996827,1.7682000160217286,471262000
2006,25,1.801200008392334,1.7855999708175658,503956000
2007,13,1.973200011253357,1.9628999710083008,522380000
2007,29,3.657800006866455,3.6925000190734862,702264000
2008,21,3.98919997215271,3.9877999782562257,907800000
2009,22,3.8891249895095825,3.8619999289512634,445640000
2010,14,6.829399967193604,6.7546998977661135,768248000
2013,42,15.672900009155274,15.539000129699707,299782000
2014,42,15.27229995727539,15.231999778747559,444600000
2015,4,15.117500066757202,14.878875255584717,459984000
2015,19,21.238999938964845,21.239800262451173,267084000
2019,5,82.47160034179687,82.2958999633789,753416000
2021,16,167.1863983154297,167.70709838867188,266660000
2021,47,177.96974563598633,180.32737350463867,277034000
2024,4,156.90799865722656,156.98200073242188,224906800
1998,8,0.2589844986796379,0.2587892487645149,249744000
1998,17,0.36703120470046996,0.3773959994316101,1153488000
1998,26,0.7786460161209107,0.7471876025199891,4362012000
1999,4,2.964531421661377,3.081562614440918,2540556000
2001,28,0.8023000001907349,0.7882000088691712,705806000
2003,15,1.2981999874114991,1.3162999868392944,816062000
2009,41,4.644799995422363,4.608799839019776,716112000
2011,12,8.345199966430664,8.295899772644043,459296000
2012,38,12.96709976196289,13.00949993133545,322620000
2020,17,118.94889984130859,119.92539825439454,527022000
2023,49,146.10800170898438,145.60199890136718,229054400
2002,29,0.792299997806549,0.7928000092506409,742028000
2004,44,1.7061000108718871,1.7038000106811524,860944000
2005,6,1.7944000244140625,1.7944999933242798,809556000
2006,19,1.6994999885559081,1.717699980735779,511828000
2009,48,6.646374940872192,6.602874994277954,473832000
2010,11,6.573699951171875,6.600800037384033,574936000
2011,30,10.966100120544434,10.99429988861084,733692000
2012,28,10.966699981689453,11.024399948120116,249538000
2012,33,11.857700157165528,11.775199890136719,308218000
2015,33,26.385499954223633,26.315400314331054,282896000
2017,40,48.52169952392578,48.21850051879883,292964000
2019,20,93.1052001953125,92.82999877929687,490990000
2020,28,155.20899963378906,153.23880004882812,581008000
2020,53,164.35924911499023,163.99924850463867,334524000
2021,14,164.01439819335937,162.4614990234375,327450000
2024,8,171.31000137329102,171.03750228881836,201508000
2024,25,185.51250076293945,184.24250411987305,187780400
1997,36,0.12174474820494652,0.12044300138950348,159048000
2002,37,0.8411000013351441,0.8231999993324279,749090000
2003,28,1.959600043296814,1.9501999616622925,941208000
2004,26,2.5240000247955323,2.499399995803833,679274000
2010,44,8.35359992980957,8.32810001373291,564402000
2018,46,80.79880065917969,81.72360076904297,674396000
2021,50,170.17250366210936,169.84540100097655,340358000
2001,23,0.8117000102996826,0.8312000036239624,691774000
2010,22,6.263500094413757,6.2696250677108765,383976000
2011,19,10.177499961853027,10.133200073242188,508880000
2012,24,10.80449981689453,10.812099838256836,315074000
2015,32,26.560199737548828,26.744000244140626,332558000
2016,41,41.590399169921874,41.823500061035155,277738000
2017,13,43.40019989013672,43.008200073242186,340070000
2019,7,80.99609985351563,81.04339904785157,404012000
2001,39,0.33069999814033507,0.3511000037193298,660942000
2003,6,1.0991000175476073,1.1032000064849854,526736000
2003,23,1.748900008201599,1.7741000175476074,951132000
2004,20,2.136399984359741,2.116499996185303,773572000
2011,42,11.861300086975097,11.963100051879882,504024000
2012,6,9.233300018310548,9.218000030517578,577536000
1999,51,4.807031273841858,4.910937428474426,778234000
2004,32,1.8412999868392945,1.8625,867578000
2008,51,2.5830000400543214,2.5711999893188477,876254000
2009,4,2.494374990463257,2.4797499775886536,510466000
2023,12,98.77199859619141,99.1,292116300
2025,1,222.2050018310547,222.2699966430664,61472200
1999,10,3.2871877670288088,3.285312604904175,1329140000
2012,18,11.456299972534179,11.387100219726562,594918000
2019,16,92.93025016784668,92.93912315368652,248248000
1998,22,0.3568362519145012,0.35371124744415283,1043448000
2004,5,2.643499994277954,2.6869999408721923,1480020000
1997,1,0.24366333583990732,0.23819466928641,265680000
1999,35,3.038437604904175,3.075937604904175,2130460000
1999,42,3.905625009536743,3.9037499904632567,851502000
2000,29,2.0518750667572023,2.058749961853027,617814000
2000,45,1.6868749856948853,1.7450000047683716,604008000
2000,47,1.302343726158142,1.2865234911441803,643044000
2002,38,0.8485999941825867,0.8558000087738037,748428000
2002,40,0.8319000005722046,0.8342000126838685,813686000
2003,5,1.0914999723434449,1.0898000001907349,709210000
2003,36,2.3416249752044678,2.340624988079071,770304000
2004,4,2.838749945163727,2.820500075817108,624864000
2004,12,2.1182000160217287,2.1214999675750734,588338000
2004,27,2.6664999961853026,2.6563000202178957,781334000
2004,49,1.988599991798401,1.9856999874114991,790146000
2005,44,2.036300039291382,2.019900012016296,569416000
2006,10,1.8294000148773193,1.8379000186920167,547800000
2008,40,3.400500011444092,3.4308000087738035,1092552000
2009,44,6.09739990234375,6.095799922943115,1911942000
2012,13,10.165900039672852,10.125100135803223,672176000
2013,20,13.33420009613037,13.26130027770996,234816000
2013,30,15.188899993896484,15.139799880981446,414882000
2014,33,16.307699584960936,16.267699813842775,332812000
2018,35,98.73690032958984,98.10599975585937,493664000
2018,38,96.34809875488281,97.06680145263672,507730000
2018,47,75.33175086975098,75.93124961853027,541864000
2019,21,92.14930114746093,92.51739959716797,370678000
2020,21,122.57150115966797,122.67060089111328,413146000
2021,3,162.29199981689453,161.07875061035156,327458000
2023,38,134.2699981689453,136.15599975585937,280817300
2024,45,204.1199981689453,201.93199768066407,230303300
2025,2,222.69750213623047,224.83250045776367,121778800
2004,52,1.9598749577999115,1.9590000212192535,418564000
2006,11,1.8274999856948853,1.8325999975204468,439476000
2007,52,4.656999945640564,4.630874991416931,443218000
2009,46,6.502300071716308,6.461300086975098,823492000
2010,39,7.888300132751465,7.961799907684326,770348000
2010,51,9.192375183105469,9.15612506866455,395652000
2014,7,17.864600372314452,17.869199752807617,419094000
2014,8,17.4698748588562,17.614500045776367,337378000
2015,24,21.426399993896485,21.385800170898438,232208000
2015,34,26.134099578857423,26.37820053100586,361830000
2016,28,37.21259994506836,37.490299987792966,369464000
