year,month,avg_close_price,avg_open_price,total_volume
2014,10,15.420521777609121,15.385478102642557,2221174000
2015,8,25.92323802766346,26.01547649928502,1657264000
2017,3,42.71199997611668,42.65208700428838,1214214000
2023,6,126.38047572544643,126.19380987258185,1242936000
2024,1,153.615237281436,153.43571399507067,954015000
2003,3,1.2557857093356906,1.2379047643570673,3281872000
2000,4,2.8187500175676847,2.835526315789474,3240250000
2000,8,1.8052989192630933,1.7845788209334663,2889294000
2000,10,1.5393465865742078,1.5208806774832986,4934670000
2002,4,0.7275227308273315,0.7249999967488375,3179172000
2004,9,2.027404779479617,2.0227142629169284,3523538000
2007,8,3.841065209844838,3.8429782494254736,3510280000
2009,12,6.744772716002031,6.7835000645030625,4149422000
2010,8,6.318636352365667,6.284681840376421,2268396000
2017,6,49.52220500599254,49.75211386247115,1922708000
2018,4,73.41102345784505,73.79209572928292,2598392000
2018,6,84.94118972051712,84.95442926316034,1718826000
2019,2,81.34686841462788,81.30663179096423,1618738000
2022,8,137.43956557564113,137.867827705715,1170449000
2025,4,181.21380905877976,179.93523733956474,1313093300
2025,7,226.29590953480113,226.36681920831853,856016400
1999,7,2.993675810950143,3.0179130009242465,7773008000
1998,7,0.9896070902997797,0.9856771257790652,13278936000
1999,11,3.812053612300328,3.8204240912482854,5621404000
2002,11,1.0674999892711639,1.0559750020503997,4126726000
2004,10,1.9132857095627558,1.9240476347151256,4171368000
2004,11,1.9176904871350242,1.910023814155942,3369498000
2006,7,1.66287499666214,1.6765500009059906,4573268000
2008,1,4.095833312897455,4.086380947203863,5766708000
2008,5,3.8669999894641696,3.867690472375779,3051464000
2008,12,2.473159085620533,2.4514090798117896,4123886000
2009,6,4.177159103480252,4.1593181978572495,3041708000
2009,10,5.062159061431885,5.047499916770241,5372328000
2012,2,9.162150001525879,9.124449968338013,2931608000
2013,6,13.70510001182556,13.685949993133544,1171516000
2013,9,15.236474990844727,15.178125,869376000
2015,9,26.04778562273298,26.067809604463122,1535378000
2016,2,26.53099994659424,26.593249988555907,2482896000
2016,7,37.07337493896485,37.09955005645752,1372710000
2016,9,39.44826198759533,39.32040477934338,1346714000
2020,2,103.30876280132092,103.29268445466694,1850202000
2020,3,93.61552221124822,93.15743151578036,3276182000
2024,6,186.08421084755346,185.43052673339844,810555700
1998,11,1.294999998807907,1.2955208480358125,13035792000
2005,4,1.6851666768391926,1.6858333292461576,3249826000
2014,11,15.934368434705233,15.869789525082236,1379674000
2022,2,153.78381508275083,153.7240544369346,1689604000
2003,10,2.8031304504560386,2.7884347749793013,5764506000
2013,8,14.55765910582109,14.591227227991277,875478000
2000,7,1.8392187654972076,1.8434374809265137,3970492000
2000,12,1.0445312470197679,1.0579687535762787,4042258000
2002,1,0.6039523822920663,0.6040238099438804,6454784000
2003,2,1.073657895389356,1.0706579026423002,2318838000
2005,8,2.211173917936242,2.2066521644592285,2295022000
2007,12,4.579899954795837,4.581599998474121,2541244000
2010,7,5.87595238004412,5.82447624206543,3506524000
2010,12,8.941954569383102,8.954931822690098,1873234000
2013,10,16.2987175402434,16.263369643169902,1545908000
2020,10,161.53002374822444,162.06793143532494,2324522000
2021,6,168.38627139004794,168.00068109685725,1340220000
2022,3,154.28047976286516,154.4625005307405,1628486000
2024,5,184.17636455189097,184.29000091552734,892274700
1998,1,0.24019534811377524,0.24053390100598335,2241600000
2002,2,0.6535789496020267,0.6504736825039512,3279778000
2005,9,2.15178572563898,2.1430237860906693,2094008000
2015,3,18.766068198464133,18.770681728016246,1110056000
2010,6,6.083363684740934,6.11624999479814,2667570000
2002,9,0.8144000023603439,0.8086749970912933,2920540000
2005,3,1.724250002340837,1.7264090830629522,2391332000
2007,11,4.152999980109079,4.153761886415028,3603930000
2009,3,3.425977284258062,3.417750022628091,4553446000
2009,8,4.203999973478771,4.204476174854097,2252458000
2010,3,6.544869505840799,6.51484783836033,3160852000
2011,4,9.228824901580811,9.195674991607666,2334988000
2012,3,9.476704510775479,9.417159123854203,2259502000
2012,8,11.949695628622305,11.924586835114852,1203848000
